USER,SCORE,ORIGINAL,CHECKED,SENT_SCORE,PN
난냐뉴라,5,사진을 먼저 찍었어야했는데 목이 너무 말라서 한입 마신다는게 너무 맛있어서 원샷했네요,사진을 먼저 찍었어야 했는데 목이 너무 말라서 한입 마신다는 게 너무 맛있어서 원 샷 했네요,0,1
nas****,5,직원들의 친절함과 따뜻함에 또 방문하고 싶어요 커피맛 또한 좋아요,직원들의 친절함과 따뜻함에 또 방문하고 싶어요 커피 맛 또한 좋아요,2,1
조정은,4.5,커피랑 젤로또 맛있어요 사장님 너무 친절친절 히터가 빵빵해서 조금 더웠지만 굳굳,커피랑 젤로 또 맛있어요 사장님 너무 친절 친절 히터가 빵빵해서 조금 더웠지만 굿굿,5,1
blvd,5,여러분 젤라또는 꼭 드세요  그 외에도 메뉴 다 맛있어요 사장님이 넘 친절하셔서 즐거운 티타임 가질 수 있었어요  인테리어도 예쁘고 곳곳에 사장님 손길 닿지 않은 곳이 없더라구요 엄청 정성스럽게 꾸며 놓은 카페입니당 자주 올게요 ,여러분 젤라또는 꼭 드세요  그 외에도 메뉴 다 맛있어요 사장님이 너무 친절하셔서 즐거운 티타임 가질 수 있었어요  인테리어도 예쁘고 곳곳에 사장님 손길 닿지 않은 곳이 없더라고요 엄청 정성스럽게 꾸며 놓은 카페입니다 자주 올게요 ,3,1
zozzu,5,너무 귀엽고 친절하시고 커피도 맛있어요  짱짱,너무 귀엽고 친절하시고 커피도 맛있어요  짱짱,4,1
보리,5,예쁘고 힙하게 꾸며져있어요 바질레몬슬러시랑 바질레몬젤라또 먹었는데 너무 맛있고 무엇보다 서비스가 좋아요,예쁘고 합하게 꾸며져있어요 바질 레몬 슬러시랑 바질 레몬 젤라또 먹었는데 너무 맛있고 무엇보다 서비스가 좋아요,2,1
김예린,5,맛있어요 분위기가 힙하고 귀여워요,맛있어요 분위기가 히프하고 귀여워요,2,1
lossophy,5,친절하거 져아요,친절하고 져야요,1,1
스시,5,추운날에도 생각나는 바질레몬 젤라또라 먹으러 왔어요 역시나 맛있네용  강추 합니당 성수카페 성수역카페,추운 날에도 생각나는 바질 레몬 젤라또라 먹으러 왔어요 역시나 맛있네요  강추 합니다 성수 카페 성수역 카페,1,1
유빈,5,분위가 끌려서 들어왔는데 잔잔하구 좋은거같아용,분위가 끌려서 들어왔는데 잔잔하고 좋은 거 같아요,1,1
rosa,5,성수카페 스마일카페 성수핫플 하니밀크 넘맛나,성수 카페 스마일 카페 성수 핫 플 하니 밀크 넘맛나,1,1
샹갈라,5,젤라또 맛집 bb 카페가 젤라또도 맛있어요 ,젤라또 맛집 bb 카페가 젤라또도 맛있어요 ,2,1
mon****,5,카페 분위기도 너무 귀엽고 음료도 맛있어용 하트 만들어 주셨는데 너무 깜띡,카페 분위기도 너무 귀엽고 음료도 맛있어요 하트 만들어 주셨는데 너무 깜찍,2,1
shy****,5,노랑의 향연 이뿌다,노랑의 향연 이쁘다,1,1
예진,5,귀엽구 사장님 친절하신곳 담에 또 가야지 ,귀엽고 사장님 친절하신 곳 담에 또 가야지 ,2,1
니뇽,5,서비스도 너무 좋으시고 웰컴티가 있는 카페는 처음이였어요 선물로 주신 마스크도 잘쓰고 다녀요,서비스도 너무 좋으시고 웰컴 티가 있는 카페는 처음이었어요 선물로 주신 마스크도 잘 쓰고 다녀요,2,1
lam****,5,너무 뀌여운 마스크도 주시고 디저트가 너 기여워용,너무 뀌어 운 마스크도 주시고 디저트가 너 기여와 용,1,1
어어어어어어엉어,5,성수동 올때마다 항상 방문하는 카페 최고임,성수동 올 때마다 항상 방문하는 카페 최고임,1,1
woobs,5,매장도 힙한데 오시는 손님들이 인테리어 중이신듯,매장도 히프한데 오시는 손님들이 인테리어 중이신듯,0,1
pizont,5,주황색 비니 쓴 알바분 너무 귀여워서 힐링됩니다 ,주황색 비니 쓴 알바분 너무 귀여워서 힐링 됩니다,1,1
나리,5,커피도 맛있고 젤라또도 맛있어요 ,커피도 맛있고 젤라또도 맛있어요 ,2,1
이한나,5,마스크도 주시고 힙해요 아주 쪼아요,마스크도 주시고 힙해요 아주 좋아요,1,1
톨톨,5,사장님덜  넘 넘 친절엔젤이시고 커피도 맛있고  비와서 추웠는데 따뜻한 웰컴티도 주시고 선물로 주신 마스크까지 아주아주 최곱니더  또 갈께여,사장님 덜  너무 너무 친절 에인절이시고 커피도 맛있고  비 와서 추웠는데 따뜻한 웰컴 티도 주시고 선물로 주신 마스크까지 아주아주 최곱니다  또 갈게요,2,1
nam****,5,분위기도 너무 좋구 커피도 맛있어용 최고,분위기도 너무 좋고 커피도 맛있어요 최고,3,1
닉닉,5,분위기 너무 힙하고 젤라또도 너무 맛있어용,분위기 너무 히프하고 젤라또도 너무 맛있어요,1,1
토리토리햄토리,5,레몬젤라또 진짜 맛있어요 포장해서 하나 먹어봤는데 진짜 맛있어서 놀라서 리뷰,레몬 젤라또 진짜 맛있어요 포장해서 하나 먹어봤는데 진짜 맛있어서 놀라서 리뷰,2,1
wnd****,5,여기 젤라또 짱맛,여기 젤라또 짱맛,1,1
김민서,5,재방문입니다 친구랑 같이 방문했는데 친구도 넘 좋아하네요 사장님도 친절하시고 커피도 맛있어요,재방문입니다 친구랑 같이 방문했는데 친구도 너무 좋아하네요 사장님도 친절하시고 커피도 맛있어요,5,1
mpt****,5,요번엔 토마토 마리네이 먹어봤는데 역시 맛있네요,요번엔 토마토 마리네 이 먹어봤는데 역시 맛있네요,1,1
오늘하루,5,여기 음료 맛있네요 분위기도 좋고 인테리어도 잘되어 있어서 친구랑 잘 놀다가 갑니다,여기 음료 맛있네요 분위기도 좋고 인테리어도 잘되어 있어서 친구랑 잘 놀다가 갑니다,5,1
chl****,5,커피가 생각날때 자주 들리는거 같아요 항상 좋은 커피 감사해요,커피가 생각날 때 자주 들리는 거 같아요 항상 좋은 커피 감사해요,3,1
rup****,5,커피 향이랑 맛이 좋아서 자주 가는데 가격도 너무 착해요 단골될 수 밖에,커피 향이랑 맛이 좋아서 자주 가는데 가격도 너무 착해요 단골 될 수밖에,4,1
헤이소야,5,힙함과 귀여움이 공존하는 카페 카페는 물론 메뉴까지 넘 귀엽고 직원분들도 친절해서 좋았어요 서비스로 주신 보리차도 따뜻하고 고소,힙합과 귀여움이 공존하는 카페 카페는 물론 메뉴까지 너무 귀엽고 직원분들도 친절해서 좋았어요 서비스로 주신 보리 차도 따뜻하고 고소,4,1
Pilot0126,5,일반 카페보다 훨씬 분위기도 좋고 특히 바질레몬 슬러시라는 특별한 음료가 너무 맛있어요,일반 카페보다 훨씬 분위기도 좋고 특히 바질 레몬 슬러시라는 특별한 음료가 너무 맛있어요,2,1
ell****,5,마스크도 주시고 바질 레몬 젤라또슬러시 둘 다 너무 맛있고 가게가 분위기있고 이뻐요,마스크도 주시고 바질 레몬 젤라또 슬러시 둘 다 너무 맛있고 가게가 분위기 있고 이뻐요,2,1
Ming,5,분위기도 좋고 사장님께서 신경을 많이쓰신 카페같아요 평소에 노랑색좋아하는데 인테리어도 노랑노랑해서 제맘에 쏙 들었어요 음료도 맛있고 피스타치오도 맛나게 먹었어요 블루베리 쿠키도 서비스로 주셨는데넘 맛나서 아껴먹었어요 인스타 느낌 낭낭한 카페 찾으신다면 추천해드려요 역에서도 가깝고 화장실도 깨끗해요 야외좌석도 있던데 담에는 야외에서 먹어봐야겠어요,분위기도 좋고 사장님께서 신경을 많이 쓰신 카페 같아요 평소에 노란색 좋아하는데 인테리어도 노랑 노랑 해서 제 맘에 쏙 들었어요 음료도 맛있고 피스타치오도 맛나게 먹었어요 블루베리 쿠키도 서비스로 주셨는데 너무 맛나서 아껴먹었어요 인스타 느낌 낭랑한 카페 찾으신다면 추천해드려요 역에서도 가깝고 화장실도 깨끗해요 야외 좌석도 있던데 담에는 야외에서 먹어봐야겠어요,5,1
ksj****,5,정말 자주오는 곳인데 올때마다 너무 친절하시고 분위기는 말할것도 없이 힙한그자체,정말 자주 오는 곳인데 올 때마다 너무 친절하시고 분위기는 말할 것도 없이 힙한 그 자체,2,1
pig****,5,분위기 지려쓰 마스크도 서비스로 주심 바질레몬젤라또 맛 특이하구 좋아요 토마토마리네이 내서타일 또 올거에여,분위기 지려쓰 마스크도 서비스로 주심 바질 레몬 젤라또 맛 특이하고 좋아요 토마토 마리네 이 내서 타일 또 올 거예요,1,1
ZELOS,5,너무 친절하시고 바닐라라떼 맛있어요 마스크도 주시고 회사가 근처라서 자주 갈 것 같아요,너무 친절하시고 바닐라라테 맛있어요 마스크도 주시고 회사가 근처라서 자주 갈 것 같아요,3,1
곰수니,5,여름에도 겨울해도 맛있는젤라또 먹으러 또옴,여름에도 겨울 해도 맛있는 젤라또 먹으러 또 옴,1,1
흑염소,5,음료도맛있고우선적으로 사장님이너무 친절해서 좋아요 다음에또 방문의사 2500,음료도 맛있고 우선적으로 사장님이 너무 친절해서 좋아요 다음에 또 방문의 사 2500,3,1
fbg****,5,디자인 넘 이쁘고 귀엽고 과하지않게 힙해요  맛도 있습니당 사장님도 넘친절하세용,디자인 너무 이쁘고 귀엽고 과하지 않게 힙해요  맛도 있습니다 사장님도 넘친 절하 세용,2,1
rma****,5,사장님도 친절하시고 브랜딩도 굳 음식 비쥬얼과 맛도 굳굳굳 ,사장님도 친절하시고 브랜딩도 굿 음식 비주얼과 맛도 굿굿굿,5,1
Peterlee,5,인심좋은 사장님 쌀쌀해지니까 따듯한 보리차와 이쁜 마스크 증정 서비스 번창하세욥,인심 좋은 사장님 쌀쌀해지니까 따듯한 보리 차와 이쁜 마스크 증정 서비스 번창하세요,1,1
lee****,5,일단 사장님 친절 별 열개 박고갑니다 음료전 보리차 되게 맛있구 마스크도 주시고 레몬젤라또 맛있어용,일단 사장님 친절 별 열 개 박고 갑니다 음료존 보리차 되게 맛있고 마스크도 주시고 레몬 젤라또 맛있어요,3,1
dms****,5,사장님 친절 최고에용,사장님 친절 최고의 용,2,1
미래,4.5,사장님 너무 친절하시고 카페가 예뻐용,사장님 너무 친절하시고 카페가 예뻐요,2,1
서지훈,5,스윙스 왔다감,스윙스 왔다 감,0,1
신사랑,5,사장님이 친절하시고 젤라또도 맛있어용,사장님이 친절하시고 젤라또도 맛있어요,2,1
오예,5,성수동 갈일 있는데 작고 특색있게 힙한 카페 찾으면 추천드려용  작은만큼 상대적으로 조용합니다 음료는 여럿 있는데 디저트가 별로 없어 아 쉬웠네요  젤라또는 테이블당 1개여도 충분할거같아요 시큼상큼이라 맛있는데 많이는 안들어가요 매장에 신경 많이 쓰신게 들어가자마자 소품 그림들로 느껴지던 좋은 카페였습니다,성수동 갈일 있는데 작고 특색 있게 힙한 카페 찾으면 추천드려요  작은 만큼 상대적으로 조용합니다 음료는 여럿 있는데 디저트가 별로 없어 아 쉬웠네요  젤라또는 테이블당 1개여도 충분할 거 같아요 시 큼 상큼이라 맛있는데 많이는 안 들어가요 매장에 신경 많이 쓰신 게 들어가자마자 소품 그림들로 느껴지던 좋은 카페였습니다,1,1
tkd****,5,분위기 굿 여친이랑,분위기 굿 여자친구랑,2,1
인마이메모리,5,좋아요,좋아요,1,1
Brown Eyed 가백,5,언제나 굿 ,언제나 굿 ,1,1
yeb****,5,오랜만에 방문했는데 역시 존맛탱 자주와야겠어염 직원 분들도 너무 친절해요,오랜만에 방문했는데 역시 존맛탱 자주 와야겠어요 직원분들도 너무 친절해요,3,1
린도세,5,여기 넘 좋아서 자주가요 기뷰좋아지는카페,여기 너무 좋아서 자주 가요 기부 좋아지는 카페,3,1
소리,5,너무 친절해요 인테리어도 맘에들고 특히 포토존 사장님 번창하세요,너무 친절해요 인테리어도 맘에 들고 특히 포토존 사장님 번창하세요,1,1
우왕굳,5,컨셉 확실한 곳 몬을 베이스로 한 상큼한 게 많습니다 손님 배려도 잘해주시고요 추울 까봐 주신 보리차도 감사했습니다,콘셉트 확실한 곳 문을 베이스로 한 상큼한 게 많습니다 손님 배려도 잘해주시고요 추울까 봐 주신 보리 차도 감사했습니다,1,1
mes****,5,엄청 친절해요 그래서 또 오고 리뷰까지씁니다 커피도 맛있고 특히나 저번에 먹었던건데 토마토에 꿀들어간거 진짜 맛있어요 강추 커피를 먹었더니 마 스크를 주네요 개꿀띠,엄청 친절해요 그래서 또 오고 리뷰까지 씁니다 커피도 맛있고 특히나 저번에 먹었던 건데 토마토에 꿀 들어간 거 진짜 맛있어요 강추 커피를 먹었더니 마 스크를 주네요 개꿀띠,5,1
지니예,5,카페도 귀엽구 커피도 맛있구,카페도 귀엽고 커피도 맛있고,2,1
_____,5,슬러쉬도 역시나 기대를 져버리지 않는 맛이였어요 모든메뉴가 다 맛있어서 갈때마다 메뉴선택에 결정장애가 생기네요,슬러시도 역시나 기대를 저버리지 않는 맛이었어요 모든 메뉴가 다 맛있어서 갈 때마다 메뉴선택에 결정 장애가 생기네요,1,1
잠이부족한넘,5,맛있어요 ,맛있어요 ,1,1
_____,5,레몬젤라또 너무 상큼하고 맛있어요 입가심하기에도 좋구 계속 생각나는 맛이네요 사장님두 친절하시구 자주 가고싶은 오프에요,레몬 젤라또 너무 상큼하고 맛있어요 입가심하기에도 좋고 계속 생각나는 맛이네요 사장님도 친절하시고 자주 가고 싶은 오프에요,4,1
Edyun0909,5,오늘 크림치즈브레드 흡입했어요 보리차 주시는거 진짜 최고에요,오늘 크림치즈 브레드 흡입했어요 보리차 주시는 거 진짜 최고예요,1,1
kyw****,5,항상 친절하시고 커피가 깔끔하고 자주 방문합니다,항상 친절하시고 커피가 깔끔하고 자주 방문합니다,3,1
이슈,5,항상 친절하게 응대해주셔서 기분좋아요 아메리카노 한잔을먹더라도 이런곳은 자주찾게 되는것 같아요,항상 친절하게 응대해주셔서 기분 좋아요 아메리카노 한 잔을 먹더라도 이런 곳은 자주 찾게 되는 것 같아요,2,1
did****,5,역시 깔끔하게 커피 잘하는집,역시 깔끔하게 커피 잘하는 집,2,1
토리토리햄토리,5,카페일 오래했어서 원래 아메 맛 엄청 가리는데 여긴 진짜 원두부터 머신관리까지 잘 하시나봐요,카페일 오래 해서 원래 아메 맛 엄청 가리는데 여긴 진짜 원두부터 머신 관리까지 잘 하시나 봐요,1,1
손수진,5,맛있어요  제가 얼죽아인지라   추천드려요 ,맛있어요  제가 어죽 아인 지라   추천드려요 ,2,1
zmg****,5,여기 커피향 너무좋아요  부드럽고 맛있어요  분위기도 굿굿,여기 커피향 너무 좋아요  부드럽고 맛있어요  분위기도 굿굿,5,1
도리맘,5,오프커피는 언제나 굿,오프 커피는 언제나 굿,1,1
mi0****,5,오늘도 굿,오늘도 굿,1,1
soon3926,5,따스한 추억 즐거운 경험 진짜 좋네요,따스한 추억 즐거운 경험 진짜 좋네요,2,1
yuni,5,소문데로 엄청 친절해서 먼곳에서 온 보람있네요커피맛도 최고네요,소문 데로 엄청 친절해서 먼 곳에서 온 보람 있네요 커피 맛도 최고네요,3,1
화명황태자,5,참 재미난곳이네요 커피맛도 훌륭하고 토마토도 맛나네요,참 재미난 곳이네요 커피 맛도 훌륭하고 토마토도 맛나네요,2,1
aab****,5,레몬젤라또 너무 맛있어용 강력추천합니다 신 거 좋아하시는 분은 바질레몬슬러시도 추천해드려요,레몬 젤라또 너무 맛있어요 강력 추천합니다 신 거 좋아하시는 분은 바질 레몬 슬러 시도 추천해드려요,3,1
YOLO,5,아아 맛집,아아 맛집,1,1
son****,5,집과 가까워서 방문했어요 맛있네요 무난하고 ,집과 가까워서 방문했어요 맛있네요 무난하고 ,1,1
dpf****,5,커피가 향부터 좋아요,커피가 향부터 좋아요,1,1
부그부그,5,맛도 훌륭하고 분위기가 너무 좋았어요 ,맛도 훌륭하고 분위기가 너무 좋았어요 ,2,1
지안에몽,5,가게 분위기가 정말 좋았고 노래도 좋았어요 젤라또랑 오프 아이스 먹었는데 둘 다 맛있었습니다 다음에 또 올게요,가게 분위기가 정말 좋았고 노래도 좋았어요 젤라또랑 오프 아이스 먹었는데 둘 다 맛있었습니다 다음에 또 올게요,3,1
jangey,5,오자마자 보리차 주셔서 정말 감사합니다 컵받침이 있어서 가져가도 되냐고 물어봤는데 가져가라고 주셨어요 감사합니다 커피도 꿀우유도 너무맛있어요 다음에 또 오겠습니다 ,오자마자 보리차 주셔서 정말 감사합니다 컵 받침이 있어서 가져가도 되냐고 물어봤는데 가져가라고 주셨어요 감사합니다 커피도 꿀 우유도 너무 맛있어요 다음에 또 오겠습니다 ,3,1
어어어어어어엉어,5,완전 최애 단골카페 사장님도 착하시고 음악도 좋고 맛도최고 뭐하나 빠지는게 없음,완전 최애 단골 카페 사장님도 착하시고 음악도 좋고 맛도 최고 뭐하나 빠지는 게 없음,4,1
이,5,진짜 넘넘 맛있구 분위기도 인테리어도 이뻐요 ,진짜 넘넘 맛있고 분위기도 인테리어도 이뻐요 ,2,1
nam****,5,카페 분위기도 넘 좋구 편하게 쉬다가 갈 수 있어서 너무 좋아용 최고,카페 분위기도 너무 좋고 편하게 쉬다가 갈 수 있어서 너무 좋아요 최고,4,1
할수있어요,5,역시 커피는 아아죠 카페 느낌 있어서 자주 올듯,역시 커피는 알아죠 카페 느낌 있어서 자주 올 듯,1,1
손수진,5,맛잇어요  좋아요  추천드려용 ,맛있어요  좋아요  추천드려요,3,1
수리새,5,커피 향이 너무 좋고 빵 맛잇어요,커피 향이 너무 좋고 빵 맛있어요,2,1
욤욤,5,지나가다 들렸는데 아아맛이 좋았어요,지나가다 들렸는데 알아 맛이 좋았어요,1,1
하비비,5,커피맛이 너무 좋아서 자주 찾아가요,커피 맛이 너무 좋아서 자주 찾아가요,2,1
tka****,5,두번째 방문했는데 너무 맛있어요 진짜  첫번째 방문 때 너무 맛있어서 이번엔 다른 메뉴로 시도 했는데 여기는 메뉴가 다 맛있나바여 너무 분위기도 좋고 맛도 좋아서 앞으로 더 자주 와야겟어용  멀리 사는데 친구랑 데이트 하러 또 와야겟어용   근래에 갓던 곳 중에 최고에용용   번창하세용용,두 번째 방문했는데 너무 맛있어요 진짜  첫 번째 방문 때 너무 맛있어서 이번엔 다른 메뉴로 시도했는데 여기는 메뉴가 다 맛있나 바여 너무 분위기도 좋고 맛도 좋아서 앞으로 더 자주 와야겠어요  멀리 사는데 친구랑 데이트하러 또 와야겠어요   근래에 갔던 곳 중에 최고에 용용   번창하세요요,8,1
rjs****,5,편하게 올수 있고 좋은 노래가 많이 나오는 카페 너무너무 좋아요 매주 오고싶은카페,편하게 올수 있고 좋은 노래가 많이 나오는 카페 너무너무 좋아요 매주 오고 싶은 카페,3,1
