USER,SCORE,REVIEW,MECAB,SENT_SCORE,SCALING,NEW_RATE
규울,5,달달하고 넘 맛있어요  다음엔 다른메뉴도 먹어볼래요,"달달,하,고,너무,맛있,어요,다음,엔,다른,메뉴,도,먹,어,볼래요",2,2.5,3.75
희요요,5,아메리카노 딱 맛있고 스콘도 맛있어요,"아메리카노,딱,맛있,고,스콘,도,맛있,어요",2,2.5,3.75
앙퀴,5,커피랑 젤라또 다 너무 맛있어요,"커피,랑,젤라또,다,너무,맛있,어요",1,2.272727273,3.636363636
hee96113,4,깜찍한 굿즈 많아요 다음에 음식도 먹어보러 재방문 하겠음니다 ,"깜찍,한,굿즈,많,아요,다음,에,음식,도,먹,어,보,러,재,방문,하,겠,습니다",2,2.5,3.25
쩜쑤,5,핫도그 맛있어요,"핫도그,맛있,어요",1,2.272727273,3.636363636
로지,5,인테리어가 너무 귀여워요 ,"인테리어,가,너무,귀여워,요",1,2.272727273,3.636363636
ysy****,5,친절하시구 커피맛도 제가 좋아하는 맛이에용 맛있네용 만족합니당,"친절,하,시,고,커피,맛,도,제,가,좋,아,하,는,맛,이,에요,맛있,네요,만족,합니다",4,2.954545455,3.977272727
kmj****,5,여기커피맛있어요,"여기,커피,맛있,어요",1,2.272727273,3.636363636
수빈,5,오프커피 약간 반신반의로 시킨건데 제 입에 딱맞아요 ,"오프,커피,약간,반신반의,로,시킨,건데,제,입,에,딱,맞,아요",0,2.045454545,3.522727273
jeo****,5,레몬티도 그렇고 커피도 그렇고 정말 맛있어요 왠만한 커피전문점 보다 맛있어요,"레몬,티,도,그렇,고,커피,도,그렇,고,정말,맛있,어요,웬만,한,커피,전문점,보다,맛있,어요",2,2.5,3.75
니니,4.5,독특해요 맥주도 파는 카페랍니당,"독특,해요,맥주,도,파,는,카페,랍니다",1,2.272727273,3.386363636
김은경,5,커피 맛이 제 입에 잘 맞아요 카페가 느낌있어서 다음에 또 방문하고 싶네요,"커피,맛,이,제,입,에,잘,맞,아요,카페,가,느낌,있,어서,다음,에,또,방문,하,고,싶,네요",1,2.272727273,3.636363636
김양은,5,커피 향도 좋고 스콘 맛도 좋네요 다음에 또 방문할게요,"커피,향,도,좋,고,스콘,맛,도,좋,네요,다음,에,또,방문,할게요",2,2.5,3.75
뽀,4.5,사장님이 매우 친절하셔요,"사장,님,이,매우,친절,하,셔요",0,2.045454545,3.272727273
난냐뉴라,5,정말 너무 맛있습니다 스콘 먹으러 맨날 오고싶요,"정말,너무,맛있,습니다,스콘,먹,으러,맨날,오,고,싶,오",2,2.5,3.75
MzCz,5,귀여운카페입니다젤라또도맛있어요,"귀여운,카페,입니다,젤라또,도,맛있,어요",2,2.5,3.75
yeb****,5,배고파서 핫도그 먹었는데 진짜 한끼로 딱이네요 완저니 든든합니다 그리고 맛도 기가 맥힙니다 나중에 또 와서 먹을거에요 직원 언니 너무 귀여워요,"배고파서,핫도그,먹,었,는데,진짜,한,끼,로,딱,이,네요,완저,니,든든,합니다,그리고,맛,도,기,가,막힙니다,나중,에,또,와서,먹,을,거,예요,직원,언니,너무,귀여워,요",2,2.5,3.75
곰수니,5,젤라또맛집이지만 아메이카노도 맛있당 밥만적게먹었으면다먹는건뎈,"젤라또,맛집,이,지만,아메리카노,도,맛있,다,밥,만,적,게,먹,었,으면,다,먹,는,건,뎈",2,2.5,3.75
손많이가는아이,5,커피가 고소해서 좋아요,"커피,가,고소,해서,좋,아요",2,2.5,3.75
소영,5,커피 맛있어요b,"커피,맛있,어요,b",1,2.272727273,3.636363636
샛별,5,조아요,"좋,아요",1,2.272727273,3.636363636
아리공주,5,레몬티 따뜻한거 마셨는데 레몬 그자체 상콤해요 너무 맛있어요  엄청 추운날마시자마자 행복하네요 자주올게요,"레몬,티,따뜻,한,거,마셨,는데,레몬,그,자체,상큼,해요,너무,맛있,어요,엄청,추운,날,마시,자마자,행복,하,네요,자주,올게요",2,2.5,3.75
pizont,5,코로나 규제 풀린 기념으로 놀러왔는데 고향에 온듯 아련한 기분이 드네요,"코로나,규제,풀린,기념,으로,놀,러,왔,는데,고향,에,온,듯,아련,한,기분,이,드,네요",0,2.045454545,3.522727273
momo,3.5,귀여워요,"귀여워,요",1,2.272727273,2.886363636
닉X,5,너무좋은데요 좋았습니다 젤라또 맛있어요,"너무,좋,은데요,좋,았,습니다,젤라또,맛있,어요",3,2.727272727,3.863636364
nam****,5,넘나 맛있어용 최고,"넘,나,맛있,어요,최고",2,2.5,3.75
난냐뉴라,5,오늘은 초코라떼 넘 맛있습니다  오프커피 만세 만세 만만세 ,"오늘,은,초코,라떼,너무,맛있,습니다,오프,커피,만세,만세,만세",4,2.954545455,3.977272727
난냐뉴라,5,새 메뉴 아보카도샌드위치 맛이 좋네요강력추천합니다 자주올게여 ,"새,메뉴,아보카도,샌드위치,맛,이,좋,네요,강력,추천,합니다,자주,올게요",4,2.954545455,3.977272727
sy,5,이곳만의 바이브가 좋아요,"이곳,만,의,바이브,가,좋,아요",1,2.272727273,3.636363636
이가현,5,바질 젤라또 새콤달콤해서 기분전환되는 맛이에요 사장님 친절하시구 매장도 아기자기해서 좋아요,"바질,젤라또,새콤달콤,해서,기분,전환,되,는,맛,이,에요,사장,님,친절,하,시,고,매장,도,아기자기,해서,좋,아요",4,2.954545455,3.977272727
빡쑤,5,완전 존맛,"완전,존맛",1,2.272727273,3.636363636
난냐뉴라,5,새 메뉴 오트밀커피 크림치즈브레드와토마토스프 출시됐길래 먹어봤어요 말해 뭐 합니까 정말 끝내주네요 ,"새,메뉴,오트밀,커피,크림치즈,브레드,와,토마토,수프,출시,됐,길래,먹,어,봤,어요,말,해,뭐,합니까,정말,끝내,주,네요",-1,1.818181818,3.409090909
pizont,5,오랜만에 왔는데 신메뉴가 쏟아지네요 코로나 때문에 걱정이 많으실테지만 항상 밝게 맞이해주시는 사장님 덕분에 오늘도 너무 힐링됩니다,"오랜만,에,왔,는데,신,메뉴,가,쏟아지,네요,코로나,때문,에,걱정,이,많,으실,테,지만,항상,밝게,맞이해,주,시,는,사장,님,덕분,에,오늘,도,너무,힐링,됩니다",2,2.5,3.75
난냐뉴라,5,항상 오고싶은 카페에요 제 인생카페라고나할까요 오늘은 아메리카노와 쿠키,"항상,오,고,싶,은,카페,에,요,제,인생,카페,라고,나,할까요,오늘,은,아메리카노,와,쿠키",1,2.272727273,3.636363636
지희,5,직원분들도 친절하시고 커피도 진짜 맛있습니다 원래 리뷰 잘 안남기는 편인데 너무 좋아서 남겨요,"직원,분,들,도,친절,하,시,고,커피,도,진짜,맛있,습니다,원래,리뷰,잘,안,남기,는,편,인데,너무,좋,아서,남겨요",4,2.954545455,3.977272727
rjs****,5,매주 34회 방문하여서 맛잇게 먹는 카페 입니다 방문 후 포장으로 해도 따듯하게 먹을수 있어서 좋습니다,"매주,34,회,방문,하,여서,맛있,게,먹,는,카페,입니다,방문,후,포장,으로,해도,따듯,하,게,먹,을,수,있,어서,좋,습니다",3,2.727272727,3.863636364
nam****,5,제 최애 카페입니당 너무 맛있어요,"제,최애,카페,입니다,너무,맛있,어요",2,2.5,3.75
난냐뉴라,5,먹어도먹어도 안질리는 맛 오프커피 최고입니단,"먹,어도,먹,어도,안질리는,맛,오프,커피,최고,입니다",2,2.5,3.75
난냐뉴라,5,아주 고급진 커피네요,"아주,고급,진,커피,네요",1,2.272727273,3.636363636
뙈지,5,바질 젤라또랑 오프 아이스 시켰는데 젤라또도 쫀득쫀득 맛있고 오프아이스도 커피맛이 굉장히 좋네요 사실 공간은 생각보단 협소했는데 인테리어도 인상적이고 귀엽기도 하고 그리고 사장님 서비스가 엄청 좋으시더라구요 장사 잘하신다 느껴졌어요 집만 근처면 자주 올듯 한데  나중에 또 들리고 싶어요,"바질,젤라또,랑,오프,아이스,시켰,는데,젤라또,도,쫀득쫀득,맛있,고,오프,아이스,도,커피,맛,이,굉장히,좋,네요,사실,공간,은,생각,보단,협소,했,는데,인테리어,도,인상,적,이,고,귀엽,기,도,하,고,그리고,사장,님,서비스,가,엄청,좋,으시,더라고요,장사,잘,하,신다,느껴졌,어요,집,만,근처,면,자주,올,듯,한데,나중,에,또,들리,고,싶,어요",4,2.954545455,3.977272727
왓웹,5,커피좀 한다는 카페 가봐도 분위기빨인데 여기 커피 진짜진짜 맛있고 직원분들이 하나같이 다친절해요,"커피,좀,한다는,카페,가,봐도,분위기,빨,인,테,여기,커피,진짜,진짜,맛있,고,직원,분,들,이,하나,같이,다,친절,해요",2,2.5,3.75
난냐뉴라,5,사진을 먼저 찍었어야했는데 목이 너무 말라서 한입 마신다는게 너무 맛있어서 원샷했네요,"사진,을,먼저,찍,었,어야,했,는데,목,이,너무,말라서,한입,마신다는,게,너무,맛있,어서,원,샷,했,네요",0,2.045454545,3.522727273
nas****,5,직원들의 친절함과 따뜻함에 또 방문하고 싶어요 커피맛 또한 좋아요,"직원,들,의,친절,함,과,따뜻,함,에,또,방문,하,고,싶,어요,커피,맛,또한,좋,아요",1,2.272727273,3.636363636
조정은,4.5,커피랑 젤로또 맛있어요 사장님 너무 친절친절 히터가 빵빵해서 조금 더웠지만 굳굳,"커피,랑,젤,로,또,맛있,어요,사장,님,너무,친절,친절,히터,가,빵빵,해서,조금,더웠,지만,굿,굿",6,3.409090909,3.954545455
blvd,5,여러분 젤라또는 꼭 드세요  그 외에도 메뉴 다 맛있어요 사장님이 넘 친절하셔서 즐거운 티타임 가질 수 있었어요  인테리어도 예쁘고 곳곳에 사장님 손길 닿지 않은 곳이 없더라구요 엄청 정성스럽게 꾸며 놓은 카페입니당 자주 올게요 ,"여러분,젤라또는,꼭,드세요,그,외,에,도,메뉴,다,맛있,어요,사장,님,이,너무,친절,하,셔서,즐거운,티타임,가질,수,있,었,어요,인테리어,도,예쁘,고,곳곳,에,사장,님,손길,닿,지,않,은,곳,이,없,더라고요,엄청,정성,스럽,게,꾸며,놓,은,카페,입니다,자주,올게요",8,3.863636364,4.431818182
zozzu,5,너무 귀엽고 친절하시고 커피도 맛있어요  짱짱,"너무,귀엽,고,친절,하,시,고,커피,도,맛있,어요,짱짱",4,2.954545455,3.977272727
보리,5,예쁘고 힙하게 꾸며져있어요 바질레몬슬러시랑 바질레몬젤라또 먹었는데 너무 맛있고 무엇보다 서비스가 좋아요,"예쁘,고,합하,게,꾸며져,있,어요,바질,레몬,슬러시,랑,바질,레몬,젤라또,먹,었,는데,너무,맛있,고,무엇,보다,서비스,가,좋,아요",3,2.727272727,3.863636364
김예린,5,맛있어요 분위기가 힙하고 귀여워요,"맛있,어요,분위기,가,히프,하,고,귀여워,요",3,2.727272727,3.863636364
lossophy,5,친절하거 져아요,"친절,하,고,져야,요",1,2.272727273,3.636363636
스시,5,추운날에도 생각나는 바질레몬 젤라또라 먹으러 왔어요 역시나 맛있네용  강추 합니당 성수카페 성수역카페,"추운,날,에,도,생각나,는,바질,레몬,젤라또,라,먹,으러,왔,어요,역시,나,맛있,네요,강추,합니다,성수,카페,성,수역,카페",3,2.727272727,3.863636364
쏘야,4,친절하고 맛있어요,"친절,하,고,맛있,어요",2,2.5,3.25
유빈,5,분위가 끌려서 들어왔는데 잔잔하구 좋은거같아용,"분위,가,끌려서,들어왔,는데,잔잔,하,고,좋,은,거,같,아요",1,2.272727273,3.636363636
rosa,5,성수카페 스마일카페 성수핫플 하니밀크 넘맛나,"성수,카페,스마일,카페,성수,핫플,하,니,밀크,넘,맛나",2,2.5,3.75
샹갈라,5,젤라또 맛집 bb 카페가 젤라또도 맛있어요 ,"젤라또,맛집,bb,카페,가,젤라또,도,맛있,어요",2,2.5,3.75
mon****,5,카페 분위기도 너무 귀엽고 음료도 맛있어용 하트 만들어 주셨는데 너무 깜띡,"카페,분위기,도,너무,귀엽,고,음료,도,맛있,어요,하트,만들,어,주,셨,는데,너무,깜찍",3,2.727272727,3.863636364
shy****,5,노랑의 향연 이뿌다,"노랑,의,향연,이쁘,다",2,2.5,3.75
예진,5,귀엽구 사장님 친절하신곳 담에 또 가야지 ,"귀엽,고,사장,님,친절,하,신,곳,담,에,또,가,야지",2,2.5,3.75
니뇽,5,서비스도 너무 좋으시고 웰컴티가 있는 카페는 처음이였어요 선물로 주신 마스크도 잘쓰고 다녀요,"서비스,도,너무,좋,으시,고,웰컴티,가,있,는,카페,는,처음,이,었,어요,선물,로,주,신,마스크,도,잘,쓰고,다녀요",1,2.272727273,3.636363636
lam****,5,너무 뀌여운 마스크도 주시고 디저트가 너 기여워용,"너무,뀌,어,운,마스크,도,주,시,고,디저트,가,너,기여,와,용",1,2.272727273,3.636363636
어어어어어어엉어,5,성수동 올때마다 항상 방문하는 카페 최고임,"성수동,올,때,마다,항상,방문,하,는,카페,최고,임",1,2.272727273,3.636363636
woobs,5,매장도 힙한데 오시는 손님들이 인테리어 중이신듯,"매장,도,히프,한,데,오,시,는,손님,들,이,인테리어,중,이,신,듯",1,2.272727273,3.636363636
pizont,5,주황색 비니 쓴 알바분 너무 귀여워서 힐링됩니다 ,"주황색,비니,쓴,알바,분,너무,귀여워서,힐링,됩니다",1,2.272727273,3.636363636
나리,5,커피도 맛있고 젤라또도 맛있어요 ,"커피,도,맛있,고,젤라또,도,맛있,어요",2,2.5,3.75
이한나,5,마스크도 주시고 힙해요 아주 쪼아요,"마스크,도,주,시,고,힙,해요,아주,좋,아요",2,2.5,3.75
톨톨,5,사장님덜  넘 넘 친절엔젤이시고 커피도 맛있고  비와서 추웠는데 따뜻한 웰컴티도 주시고 선물로 주신 마스크까지 아주아주 최곱니더  또 갈께여,"사장,님,덜,너무,너무,친절,에인절,이,시,고,커피,도,맛있,고,비,와서,추웠,는데,따뜻,한,웰컴티,도,주,시,고,선물,로,주,신,마스크,까지,아주,아주,최,곱,니,다,또,갈게요",2,2.5,3.75
nam****,5,분위기도 너무 좋구 커피도 맛있어용 최고,"분위기,도,너무,좋,고,커피,도,맛있,어요,최고",3,2.727272727,3.863636364
닉닉,5,분위기 너무 힙하고 젤라또도 너무 맛있어용,"분위기,너무,히프,하,고,젤라또,도,너무,맛있,어요",2,2.5,3.75
토리토리햄토리,5,레몬젤라또 진짜 맛있어요 포장해서 하나 먹어봤는데 진짜 맛있어서 놀라서 리뷰,"레몬,젤라또,진짜,맛있,어요,포장,해서,하나,먹,어,봤,는데,진짜,맛있,어서,놀라,서,리뷰",3,2.727272727,3.863636364
wnd****,5,여기 젤라또 짱맛,"여기,젤라또,짱맛",1,2.272727273,3.636363636
김민서,5,재방문입니다 친구랑 같이 방문했는데 친구도 넘 좋아하네요 사장님도 친절하시고 커피도 맛있어요,"재,방문,입니다,친구,랑,같이,방문,했,는데,친구,도,너무,좋,아,하,네요,사장,님,도,친절,하,시,고,커피,도,맛있,어요",5,3.181818182,4.090909091
mpt****,5,요번엔 토마토 마리네이 먹어봤는데 역시 맛있네요,"요번,엔,토마토,마리네,이,먹,어,봤,는데,역시,맛있,네요",2,2.5,3.75
오늘하루,5,여기 음료 맛있네요 분위기도 좋고 인테리어도 잘되어 있어서 친구랑 잘 놀다가 갑니다,"여기,음료,맛있,네요,분위기,도,좋,고,인테리어,도,잘,되,어,있,어서,친구,랑,잘,놀,다가,갑니다",5,3.181818182,4.090909091
chl****,5,커피가 생각날때 자주 들리는거 같아요 항상 좋은 커피 감사해요,"커피,가,생각날,때,자주,들리,는,거,같,아요,항상,좋,은,커피,감사,해요",2,2.5,3.75
rup****,5,커피 향이랑 맛이 좋아서 자주 가는데 가격도 너무 착해요 단골될 수 밖에,"커피,향,이랑,맛,이,좋,아서,자주,가,는데,가격,도,너무,착해요,단골,될,수,밖에",3,2.727272727,3.863636364
헤이소야,5,힙함과 귀여움이 공존하는 카페 카페는 물론 메뉴까지 넘 귀엽고 직원분들도 친절해서 좋았어요 서비스로 주신 보리차도 따뜻하고 고소,"힙합,과,귀여움,이,공존,하,는,카페,카페,는,물론,메뉴,까지,너무,귀엽,고,직원,분,들,도,친절,해서,좋,았,어요,서비스,로,주,신,보리,차,도,따뜻,하,고,고소",5,3.181818182,4.090909091
Pilot0126,5,일반 카페보다 훨씬 분위기도 좋고 특히 바질레몬 슬러시라는 특별한 음료가 너무 맛있어요,"일반,카페,보다,훨씬,분위기,도,좋,고,특히,바질,레몬,슬러시,라는,특별,한,음료,가,너무,맛있,어요",2,2.5,3.75
ell****,5,마스크도 주시고 바질 레몬 젤라또슬러시 둘 다 너무 맛있고 가게가 분위기있고 이뻐요,"마스크,도,주,시,고,바질,레몬,젤라또,슬러시,둘,다,너무,맛있,고,가게,가,분위기,있,고,이뻐요",2,2.5,3.75
Ming,5,분위기도 좋고 사장님께서 신경을 많이쓰신 카페같아요 평소에 노랑색좋아하는데 인테리어도 노랑노랑해서 제맘에 쏙 들었어요 음료도 맛있고 피스타치오도 맛나게 먹었어요 블루베리 쿠키도 서비스로 주셨는데넘 맛나서 아껴먹었어요 인스타 느낌 낭낭한 카페 찾으신다면 추천해드려요 역에서도 가깝고 화장실도 깨끗해요 야외좌석도 있던데 담에는 야외에서 먹어봐야겠어요,"분위기,도,좋,고,사장,님,께서,신경,을,많이,쓰,신,카페,같,아요,평소,에,노란색,좋,아,하,는데,인테리어,도,노랑,노랑,해서,제,맘,에,쏙,들,었,어요,음료,도,맛있,고,피스타치오,도,맛나,게,먹,었,어요,블루베리,쿠키,도,서비스,로,주,셨,는데,너무,맛나,서,아껴,먹,었,어요,인스타,느낌,낭랑,한,카페,찾,으신다면,추천,해,드려요,역,에서,도,가깝,고,화장실,도,깨끗,해요,야외,좌석,도,있,던,데,담,에,는,야외,에서,먹,어,봐야겠어요",6,3.409090909,4.204545455
ksj****,5,정말 자주오는 곳인데 올때마다 너무 친절하시고 분위기는 말할것도 없이 힙한그자체,"정말,자주,오,는,곳,인데,올,때,마다,너무,친절,하,시,고,분위기,는,말,할,것,도,없이,힙한,그,자체",2,2.5,3.75
pig****,5,분위기 지려쓰 마스크도 서비스로 주심 바질레몬젤라또 맛 특이하구 좋아요 토마토마리네이 내서타일 또 올거에여,"분위기,지려,쓰,마스크,도,서비스,로,주심,바질,레몬,젤라또,맛,특이,하,고,좋,아요,토마토,마리네,이,내서,타일,또,올,거,예요",0,2.045454545,3.522727273
ZELOS,5,너무 친절하시고 바닐라라떼 맛있어요 마스크도 주시고 회사가 근처라서 자주 갈 것 같아요,"너무,친절,하,시,고,바닐라,라떼,맛있,어요,마스크,도,주,시,고,회사,가,근처,라서,자주,갈,것,같,아요",2,2.5,3.75
곰수니,5,여름에도 겨울해도 맛있는젤라또 먹으러 또옴,"여름,에,도,겨울,해도,맛있,는,젤라또,먹,으러,또,옴",1,2.272727273,3.636363636
흑염소,5,음료도맛있고우선적으로 사장님이너무 친절해서 좋아요 다음에또 방문의사 2500,"음료,도,맛있,고,우선,적,으로,사장,님,이,너무,친절,해서,좋,아요,다음,에,또,방문,의,사,2500",3,2.727272727,3.863636364
fbg****,5,디자인 넘 이쁘고 귀엽고 과하지않게 힙해요  맛도 있습니당 사장님도 넘친절하세용,"디자인,너무,이쁘,고,귀엽,고,과하,지,않,게,힙,해요,맛,도,있,습니다,사장,님,도,넘친,절하,세용",4,2.954545455,3.977272727
rma****,5,사장님도 친절하시고 브랜딩도 굳 음식 비쥬얼과 맛도 굳굳굳 ,"사장,님,도,친절,하,시,고,브,랜,딩,도,굿,음식,비주얼,과,맛,도,굿,굿,굿",5,3.181818182,4.090909091
Peterlee,5,인심좋은 사장님 쌀쌀해지니까 따듯한 보리차와 이쁜 마스크 증정 서비스 번창하세욥,"인심,좋,은,사장,님,쌀,쌀,해,지,니까,따듯,한,보리,차,와,이쁜,마스크,증정,서비스,번창,하,세요",5,3.181818182,4.090909091
lee****,5,일단 사장님 친절 별 열개 박고갑니다 음료전 보리차 되게 맛있구 마스크도 주시고 레몬젤라또 맛있어용,"일단,사장,님,친절,별,열,개,박,고,갑니다,음료,존,보리차,되게,맛있,고,마스크,도,주,시,고,레몬,젤라또,맛있,어요",3,2.727272727,3.863636364
dms****,5,사장님 친절 최고에용,"사장,님,친절,최고,의,용",2,2.5,3.75
미래,4.5,사장님 너무 친절하시고 카페가 예뻐용,"사장,님,너무,친절,하,시,고,카페,가,예뻐요",2,2.5,3.5
서지훈,5,스윙스 왔다감,"스윙스,왔,다,감",0,2.045454545,3.522727273
신사랑,5,사장님이 친절하시고 젤라또도 맛있어용,"사장,님,이,친절,하,시,고,젤라또,도,맛있,어요",2,2.5,3.75
오예,5,성수동 갈일 있는데 작고 특색있게 힙한 카페 찾으면 추천드려용  작은만큼 상대적으로 조용합니다 음료는 여럿 있는데 디저트가 별로 없어 아 쉬웠네요  젤라또는 테이블당 1개여도 충분할거같아요 시큼상큼이라 맛있는데 많이는 안들어가요 매장에 신경 많이 쓰신게 들어가자마자 소품 그림들로 느껴지던 좋은 카페였습니다,"성수동,갈일,있,는데,작,고,특색,있,게,힙한,카페,찾,으면,추천,드려요,작,은,만큼,상대,적,으로,조용,합니다,음료,는,여럿,있,는데,디저트,가,별로,없,어,아,쉬웠,네요,젤라또는,테이블,당,1,개,여도,충분,할,거,같,아요,시,큼,상큼,이,라,맛있,는데,많이,는,안,들어가,요,매장,에,신경,많이,쓰,신,게,들어가,자마자,소품,그림,들,로,느껴,지,던,좋,은,카페,였,습니다",8,3.863636364,4.431818182
tkd****,5,분위기 굿 여친이랑,"분위기,굿,여자,친구,랑",2,2.5,3.75
인마이메모리,5,좋아요,"좋,아요",1,2.272727273,3.636363636
Brown Eyed 가백,5,언제나 굿 ,"언제나,굿",1,2.272727273,3.636363636
yeb****,5,오랜만에 방문했는데 역시 존맛탱 자주와야겠어염 직원 분들도 너무 친절해요,"오랜만,에,방문,했,는데,역시,존맛,탱,자주,와야,겠,어요,직원,분,들,도,너무,친절,해요",3,2.727272727,3.863636364
린도세,5,여기 넘 좋아서 자주가요 기뷰좋아지는카페,"여기,너무,좋,아서,자주,가요,기부,좋,아,지,는,카페",2,2.5,3.75
소리,5,너무 친절해요 인테리어도 맘에들고 특히 포토존 사장님 번창하세요,"너무,친절,해요,인테리어,도,맘,에,들,고,특히,포토존,사장,님,번창,하,세요",2,2.5,3.75
우왕굳,5,컨셉 확실한 곳 몬을 베이스로 한 상큼한 게 많습니다 손님 배려도 잘해주시고요 추울 까봐 주신 보리차도 감사했습니다,"콘셉트,확실,한,곳,문,을,베이스,로,한,상큼,한,게,많,습니다,손님,배려,도,잘,해,주,시,고요,추울까,봐,주,신,보리,차,도,감사,했,습니다",3,2.727272727,3.863636364
mes****,5,엄청 친절해요 그래서 또 오고 리뷰까지씁니다 커피도 맛있고 특히나 저번에 먹었던건데 토마토에 꿀들어간거 진짜 맛있어요 강추 커피를 먹었더니 마 스크를 주네요 개꿀띠,"엄청,친절,해요,그래서,또,오,고,리뷰,까지,씁니다,커피,도,맛있,고,특히,나,저번,에,먹,었,던,건데,토마토,에,꿀,들어간,거,진짜,맛있,어요,강추,커피,를,먹,었,더니,마,스,크,를,주,네요,개꿀,띠",5,3.181818182,4.090909091
지니예,5,카페도 귀엽구 커피도 맛있구,"카페,도,귀엽,고,커피,도,맛있,고",2,2.5,3.75
_____,5,슬러쉬도 역시나 기대를 져버리지 않는 맛이였어요 모든메뉴가 다 맛있어서 갈때마다 메뉴선택에 결정장애가 생기네요,"슬러시,도,역시,나,기대,를,저버리,지,않,는,맛,이,었,어요,모든,메뉴,가,다,맛있,어서,갈,때,마다,메뉴,선택,에,결정,장애,가,생기,네요",2,2.5,3.75
잠이부족한넘,5,맛있어요 ,"맛있,어요",1,2.272727273,3.636363636
_____,5,레몬젤라또 너무 상큼하고 맛있어요 입가심하기에도 좋구 계속 생각나는 맛이네요 사장님두 친절하시구 자주 가고싶은 오프에요,"레몬,젤라또,너무,상큼,하,고,맛있,어요,입가심,하,기,에,도,좋,고,계속,생각나,는,맛,이,네요,사장,님,도,친절,하,시,고,자주,가,고,싶,은,오프,에,요",5,3.181818182,4.090909091
Edyun0909,5,오늘 크림치즈브레드 흡입했어요 보리차 주시는거 진짜 최고에요,"오늘,크림치즈,브레드,흡입,했,어요,보리차,주,시,는,거,진짜,최고,예요",2,2.5,3.75
kyw****,5,항상 친절하시고 커피가 깔끔하고 자주 방문합니다,"항상,친절,하,시,고,커피,가,깔끔,하,고,자주,방문,합니다",2,2.5,3.75
이슈,5,항상 친절하게 응대해주셔서 기분좋아요 아메리카노 한잔을먹더라도 이런곳은 자주찾게 되는것 같아요,"항상,친절,하,게,응대,해,주,셔서,기분,좋,아요,아메리카노,한,잔,을,먹,더라도,이런,곳,은,자주,찾,게,되,는,것,같,아요",2,2.5,3.75
did****,5,역시 깔끔하게 커피 잘하는집,"역시,깔끔,하,게,커피,잘,하,는,집",3,2.727272727,3.863636364
토리토리햄토리,5,카페일 오래했어서 원래 아메 맛 엄청 가리는데 여긴 진짜 원두부터 머신관리까지 잘 하시나봐요,"카페,일,오래,해서,원래,아메리카노,맛,엄청,가리,는데,여긴,진짜,원두,부터,머신,관리,까지,잘,하,시,나,봐요",1,2.272727273,3.636363636
