,INDEX,USER,SCORE,REVIEW,SENT_SCORE,SIGN,POS/NEG,,
127,4863,별일없다,5,"여러,번,가,도,좋,은,곳,지인,들,과,성수동,가,면,어디,갈까,하,다가,꼭,들르,게,되,는,곳,이,다,안,가,본,사람,이,꼭,있,기,때문,에,팡도르,도,좋,고,버터,소금,빵,도,맛있,고,넉넉,한,공간,도,좋,음,다음,에,도,또,갈,것,같,음",5,1,1,T,
128,3113,kw,4.5,"좋,아요",1,1,1,T,
129,4744,unknown,4.5,"팡도르,는,개인,적,으로,먹,을수록,느끼,해서,반,만,먹,었,고,버터,롤,은,쫄깃,하,고,담백,짭짤,해서,진짜,맛있,어요",2,1,0,F,
130,8589,러블리,4.5,"가격대,가,좀,있,지만,분위기,도,좋,고,넓,어요",2,1,1,T,
131,6797,하이,1,"카운터,여자,직원,불친절,야외,테라스,흙,밭,에,써,거름,냄새,인,건지,똥내,관리,를,소홀히,하,시,는,건가요",-2,-1,-1,T,
132,5768,min****,5,"좋,아요",1,1,1,T,
133,5126,레종은금연중,4.5,"맛나,맛나",2,1,1,T,
134,7008,슈우,3,"좋,아요",1,1,1,T,
135,3592,한나별솔,5,"시그,니,처,메뉴,도,맛있,었,고,아메리카노,진한,게,너무,좋,네요",3,1,1,T,
136,6717,동투,4,"시설,이,참,좋,습니다,비,오,는,날,옥상,에서,있,었,는데,너무,좋,았,습니다,정말,넓,은,곳,다른,사람,들,보,니,밥,시켜,먹,던데,저,도,다음,에,는",3,1,1,T,
137,3740,모모,4.5,"가,보,고,먹,을,만,함",0,0,1,F,
138,8714,미라,4,"몇,년,전,만,해도,자리,없,어서,나오,곤,했,는데,확실히,요즘,손,님,이,적,긴,하,네요,분위기,로,가,기,좋,아요,음료,는,기대,하,지,마시,고",2,1,0,F,
139,2145,원피스,3,"날씨,때문,이,었,는지,내부,공기,가,쾌적,하,지,않,았,음,커피,는,쏘쏘,빵,은,오케이",0,0,-1,F,
140,2840,Sojini,4.5,"스타,벅스,성,수점,깨끗,하,고,좋,아요,굿,즈,더,다양,했,으면,좋,겠,어요",5,1,1,T,
141,6096,뽀글콩,3.5,"예쁜,인테리어,맛있,는,커피,와,빵",2,1,1,T,
142,1625,소연,4,"너무,맛있,어요,혼자,가,서,자주,먹,습니다",1,1,1,T,
143,6815,도레미,2,"청포,도,주스,는,맛있,었,음,전체,적,으로,맛,은,크,게,특별,하,지,않,은데,비,쌈,그리고,여자,직원,분,두,분,계셨,는데,한,분,은,친절,했,지만,머리,긴,직원,분,불친절,사람,항상,많이,오,고,힘든,건,알,겠,지만,기본,적,의,대답,은,하,셔야죠,저희,가,갔,을,땐,한가,한,편,이,었,음,에,도,도,불구,하,고,결제,후,영수증,달,라는,말,에,도,묵묵부답,카드,받,으며,감사,하,다는,인사,에,도,묵묵부답,진동,벨,울려서,커피,받,으러,갔,는데,뒤돌아서,서,본인,할,일,만,하,시,고,맛있,게,드세요,란,말,은,못,해,주,셔도,최소한,제,가,받,으면서,감사,합니다만,인사,에,는,대답,하,셔야죠,다시,는,안,갈,듯,합니다",4,1,-1,F,
144,4774,행복한행운이,4.5,"예전,보다,덜,복잡,해서,좋,아요,커피,맛,은,쏘쏘,빵,은,맛있,어요",1,1,1,T,
145,6139,얜,4.5,"친절,하,고,빵,도,맛있,어요",2,1,1,T,
146,2470,Lee,5,"아메,맛있,고,무화과,설기,담백,한,것,같,다가,도,끝,맛,이,약간,진하,면서,매력,있,어요,다른,케이크,도,먹,으러,재,방문,하,고,싶,어요,평일,3,시,에,방문,했,는데,웨이팅,조금,있,었,어요",2,1,1,T,
147,7461,사람,4,"사람,이,너무,많,아요",1,1,-1,F,
148,6344,밀가루,4,"아기자기,한,카페",1,1,1,T,
149,3558,바른정,4,"처음,맛보,는,커피,의,신세계,인테리어,와,콘셉트,로,승부,를,보,려는,여느,카페,와,달리,커피,맛,에,충실,한,곳,하,이마트,와,롯데마트,사이,오픈,형,공간,이,지만,이,독특,한,커피,와,분위기,에,압도,되,어,매력적,인,곳,가까이,에,있,어,다행,입니다",5,1,1,T,
150,473,pro****,5,"잠봉,붜,르,맛집",1,1,1,T,
151,1872,김민경,5,"빵,종류,가,많,아서,너무,좋,아요",2,1,1,T,
152,1056,성여진,5,"새들러,하우스,크로,플,을,먹,고,나서,는,다른,크로,플,을,먹,어도,성,에,안,차,요",0,0,1,F,
153,424,손많이가는아이,5,"잠봉,잠봉,너무,맛있,어요",1,1,1,T,
154,2613,엘류,5,"다쿠아즈,다시,사,러,왔,어요",0,0,1,F,
155,1387,sisi,5,"분위기,너무,예뻐요",1,1,1,T,
156,1760,s0e****,5,"매장,에서,먹,어,보,고,너무,맛있,어서,또,가,야지,했,는데,이벤트,한다길래,포장,주문,해,봤,어요,바빠서,그런지,오래,걸렸,지만,맛,은,역시,최고",3,1,1,T,
157,3695,hanie202,4,"좋,아요,2",1,1,1,T,
158,2920,tpw****,4,"맛있,어요",1,1,1,T,
159,7782,kiy****,4,"좋,아요",1,1,1,T,
160,2111,rosie,3.5,"맛있,어요",1,1,1,T,
161,501,_bini_l,5,"출장,중,일정,이,꼬여서,예약,시간,못,맞출,거,같,았,는데,예약,시간,보다,미리,찾,을,수,있,어,좋,았,어요,그리고,맛,도,너무,좋,았,답니다",2,1,1,T,
162,3623,쵸코송이,3,"다,좋,은데,하,이마트,안,에,있,는,게,에러,네요,너티,클라우드,는,맛있,어요",2,1,0,F,
163,5834,테니스왕자,5,"커피,맛있,어요",1,1,1,T,
164,2195,son****,4,"빵,커피,짱짱맛",1,1,1,T,
165,3100,han****,4.5,"좋,아요,시원,해요,넓,어요,깨끗,해요",2,1,1,T,
166,544,워니,4,"무화과,깜,빠,뉴,맛있,어요,건강,한,맛,인데,맛,도,있,어요,굿",2,1,1,T,
167,2824,마82,4,"좋,아요",1,1,1,T,
168,4497,sh,4,"공간,이,넓,고,테이블,사이,의,간격,도,여유,가,있,어서,좋,았,어요,케이크,랑,커피,도,괜찮,은,편,이,었,습니다,5,월,임,에,도,불구,하,고,날씨,가,쌀쌀,한,편,이,었,는데,저녁,에,에어컨,틀,어,놓,은,상태,에서,문,이,다,열려,있,다,보,니,좀,춥,더라고요,직원,분,이,조금,만,신경,써,주,시,면,더,좋,을,것,같,아요",4,1,1,T,
169,882,없음,5,"소문,대로,맛있,네요",1,1,1,T,
170,6868,xll****,5,"넓,고,좋,아요",2,1,1,T,
171,8665,puruni,3.5,"맛,이,훌륭,친,않,지만,분위기,값,으로",1,1,0,F,
172,1567,영떠니,5,"그래,놀라",1,1,0,F,
173,3039,GG,4,"좋,아요",1,1,1,T,
174,3233,Nonino,4.5,굿,1,1,1,T,
175,5800,duq****,4,"자리,는,불편,하,지만,댕댕이,가,많,아요,커피,도,맛있,고요",1,1,1,T,
176,6217,할미새사촌,4,"자주,가요",0,0,1,F,
177,6938,su,3,"많이,비싸,긴,해요,그냥저냥,먹,을,만",-2,-1,-1,T,
178,1919,anne,5,"미세먼지,를,뚫,고,온,보람,이,있,네요,크루아상,커피,맛있,어요",2,1,1,T,
179,1349,음식에 진심인 편,5,"정말,맛있,습니다,꼭,가,세요",1,1,1,T,
180,708,유형민,3.5,"좋,은데,매장,이용,을,너무,러프,하,게,하,는,것,같,아요,막상,들어가,보,니,빈자리,가,많,던데",2,1,0,F,
181,3430,xowl35,5,"성수역,바로,앞,이,라,찾아가,기,쉬웠,어요",1,1,1,T,
182,6958,이라샤,4,"분위기,도,좋,고,편하,게,잘,있,기,좋,아요,음식,도,맛있,었,어요",5,1,1,T,
183,3016,hyekyung,5,"분리,된,공간,좋,아요",1,1,1,T,
184,4301,혜니,4,"카페,너무,이쁘,고,커피,도,맛있,어요",2,1,1,T,
185,866,GV3,4,"플레인,이,젤,맛있,네요,옥수수,가,한정판,이,라고,해서,먹,어,봤,는데,옥수수,에서,물기,가,나와서,바삭,함,이,덜한,듯,옥수수,는,많이,들,어,있,긴,해요",2,1,0,F,
186,4021,댕댕,4.5,"커피,맛,좋,습니다,디저트,는,아직,안,먹,어,봐서",1,1,1,T,
187,2603,seul,3,"비,건,케이크,라는,데,안,믿길,정도,로,맛있,고,포만감,도,있,었,어요,에이드,는,너무,달,지,않,고,맛있,었,는고,티,도,향,이,진했,는데,티,마시,는,건,좀,아쉬울,것,같,아요,그리고,사장,님,정말,친절,하,셔요,근데,아르바이트,생,은,정말,역,갑,질,처럼,대응,하,시,더라고요,진열장,에,없,길래,못,먹,느냐고,조심,스럽,게,여쭤,봤,는데,당연,하,건,왜,묻,냐는,식,으로,대답,하,셔서,그냥,말문,이,막혔,어요,그건,좀,기분,이,많이,상했,습니다",1,1,0,F,
188,5,희짱,4.5,"시원,하,고,달달,하,니,맛있,어요,카페,인테리어,도,이뻐요",2,1,1,T,
189,7594,유쓸모,4,"분위기,좋,고,널찍,해서,굿",3,1,1,T,
190,4358,라미,5,"언제나,맛있,어요",1,1,1,T,
191,2121,osy****,4,"좋,아요",1,1,1,T,
192,7311,쟈니윤,5,"그림,그리고,책,읽,기,좋,음,수국,빨간,벽돌,마당,테라스",1,1,1,T,
193,2743,또코,3,"좋,아요",1,1,1,T,
194,3336,eo,4,"티라미수,는,차가울,때,만,먹,는,음식,이,었,네요,시간,이,지나,니,크림,이,다,녹,아서,한,번,에,먹,기,에,는,양,이,많,았,어요",1,1,0,F,
195,5651,하슈,5,"깨끗,하,고,맛,도,좋,아요",2,1,1,T,
196,3476,CEO,5,"낮,에,는,갈증,이,있,는데,시원,하,게,마셨,어요,스타,벅스,만,의,아메리카노,맛,이,있,네요",-1,-1,1,F,
197,6138,미농,4,"맛나,요",1,1,1,T,
198,568,윤선,5,"크로,플,맛있,어요,집,에,가지,고,와서,에프,에,돌려먹,었,는데,진짜,진짜,맛있,었,어요,바삭,달콤,겉,에,시럽,이,녹,아서,진짜,맛있,었,어요",5,1,1,T,
199,6246,zzi****,4,"커피,는,반드시,샷,을,추가,해서,드세요",1,1,-1,F,
200,5418,베짱이 몰리,4,"가게,안,은,정신없,어서,테이크아웃,공주,밤,빵,은,처음,먹,어,봤,는데,맛있,어요",0,0,1,F,
201,5304,wis****,1.5,비상,0,0,-1,F,
202,8699,캐서린,4,"좋,아요",1,1,1,T,
203,8251,016****,5,"뷰,도,좋,고,음료수,맛,도,좋,아요,성수동,컴,온",2,1,1,T,
204,2451,beta,5,"분위기,도,좋,고,레몬,블루베리,케이크,도,너무,맛있,게,잘,먹,었,어요",3,1,1,T,
205,1810,핑퐁,5,"직원,분,들,도,친절,하,고,여긴,얼,그레,이,들어간,건,다,맛있,네요",2,1,1,T,
206,4374,별명,5,"케이크,너무,맛있,는고",1,1,1,T,
207,259,nas****,5,"좋,다",1,1,1,T,
208,5950,큐다,4,"가격,이,약간,비싸,지만,아이스크림,이,맛있,다,날씨,좋,은,날,야외,석,앉,으면,분위기,갑",1,1,1,T,
209,7172,lsk****,5,"너무,좋,아요",1,1,1,T,
210,3321,coucou,4,"넓,은,편,이,에요,오전,엔,좋,지만,오후,엔,사람,너무,많,네요",3,1,0,F,
211,8206,꾸꾸,5,"맛있,고,시원,하,고,좋,았,어요",1,1,1,T,
212,7719,Vvvvvvv,4,"사람,들,이,동시,에,떠드,는,순간,데시벨,끝,까지,솟,지만,괜찮,아,괜찮,아",-2,-1,0,F,
213,1945,jjj****,5,"좋,아요",1,1,1,T,
214,7329,솔직한시식가,0.5,"사람,많,아서,비추,커피,와,곁들일,만,한,빵,종류,없,음,차라리,팔당,쪽,카페,들,이,좋,은,듯,실패",0,0,-1,F,
215,716,데일리S,5,"크,로,플,인생,맛집,이,에요,꼭,세트,로,주문,해서,집,에서,도,드세요,소분,해서,냉동,해,두,었,다가,에어,프라이어,에,돌려먹,어도,맛있,어요",3,1,1,T,
216,121,_____,5,"레몬,젤라,또,너무,상큼,하,고,맛있,어요,입가심,하,기,에,도,좋,고,계속,생각나,는,맛,이,네요,사장,님,도,친절,하,시,고,자주,가,고,싶,은,오프,에,요",5,1,1,T,
217,6936,Garden,5,"커피,맛나,고,티라미수,롤,굿",2,1,1,T,
218,462,caramel78,5,"맛있,어요",1,1,1,T,
219,5142,MHK,4,"양,아취,birds,새,들,이,와서,빵,스틸,해,감",-1,-1,-1,T,
220,7437,뿌엥,3,"크기,는,큰,데,맛,은,그냥저냥",-1,-1,0,F,
221,2946,Seal,5,"넓,어서,좋,아요,얼른,코,로,나,끝났으면,좋,겠,다",3,1,1,T,
222,1021,cherry7288,4.5,"비싸,지만,맛있,어요",0,0,0,T,
223,8484,sam****,3.5,"친절,해요",1,1,1,T,
224,6244,7ebor,5,"라테,맛있,어요,매장,도,넓,고,인테리어,예뻐요,담,엔,디저트,종류,도,먹,어,봐야겠어요",3,1,1,T,
225,5769,kcv****,4,"좋,아요",1,1,1,T,
226,6511,bwls,5,"카페,가,예쁘,고,넓,어서,좋,았,어요",3,1,1,T,
